"genes"	"modules"
"DENND2C"	"M1"
"SOX21"	"M5"
"ADORA2B"	"M1"
"FRY"	"M2"
"LRRC15"	"M3"
"FAM69B"	"M2"
"IRX2"	"M3"
"FHOD3"	"M3"
"SLC16A9"	"M5"
"CPZ"	"M3"
"COLEC12"	"M3"
"ARHGAP33"	"M1"
"DUOXA1"	"M1"
"ENPP4"	"M1"
"HEPH"	"M3"
"C14orf132"	"M2"
"TUB"	"M2"
"RARB"	"M3"
"ZNF469"	"M3"
"KCNQ1"	"M6"
"MSL3L2"	"M3"
"CAMK2N1"	"M5"
"RHPN1"	"M3"
"TP73"	"M2"
"PGBD5"	"M2"
"LOXL4"	"M3"
"HAP1"	"M2"
"SLC44A5"	"M2"
"EFNA5"	"M1"
"FLNC"	"M3"
"BMP2"	"M3"
"FREM2"	"M2"
"ST6GALNAC1"	"M1"
"NT5E"	"M3"
"C8orf73"	"M1"
"FBXO17"	"M4"
"C1orf59"	"M2"
"CTAGE9"	"M2"
"ATP2C2"	"M1"
"MAPK8IP2"	"M2"
"PALMD"	"M1"
"LOC100132288"	"Not.Correlated"
"C20orf54"	"M1"
"INHBB"	"Not.Correlated"
"LY6D"	"M1"
"PLLP"	"M1"
"CAPN12"	"M4"
"SLC16A5"	"M3"
"CRMP1"	"M2"
"KLF8"	"M1"
"APBA2"	"M1"
"LIF"	"M1"
"SERPINI1"	"M5"
"XYLT1"	"M3"
"SLC6A14"	"M6"
"SOSTDC1"	"M5"
"PTGIS"	"M4"
"LYPD6B"	"M5"
"PDZD2"	"M2"
"FLRT2"	"M3"
"ACPP"	"M1"
"PLA2G16"	"M2"
"BDKRB2"	"M1"
"CSF3R"	"M6"
"DUOX2"	"M1"
"CGNL1"	"M3"
"CDKN1C"	"M2"
"HES6"	"M1"
"CCDC64B"	"M1"
"AIM1L"	"M1"
"C7"	"M6"
"SYNPO2"	"M3"
"SSC5D"	"M3"
"SLC7A2"	"M3"
"GSDMC"	"M1"
"SIGLEC1"	"M4"
"IGFBP6"	"M3"
"DLK2"	"M1"
"KIT"	"M1"
"RSAD2"	"M4"
"PPARG"	"M2"
"CD3E"	"M4"
"PLCB4"	"M2"
"C16orf74"	"M1"
"F12"	"M2"
"IRF8"	"M4"
"C11orf41"	"M2"
"GFPT2"	"M3"
"DUSP9"	"M1"
