,logFC,t,P.Value,adj.P.Val,B,direction
OSCAR,-2.98926925171066,-18.5940733547422,5.37082093540799e-53,9.73013726131413e-51,109.907402285044,down
ALDH18A1,1.64694759183244,18.5168507904979,1.07718563652335e-52,1.92476841682337e-50,109.114310772147,up
PPP1R14B,1.92848475014131,18.4910389245322,1.35934139713328e-52,2.39611475462249e-50,108.887717333106,up
PTRF,-2.48266339924356,-18.4621836558474,1.7631336677e-52,3.06644207486383e-50,108.641350404918,down
KIF17,-2.63850523131075,-18.4154850959771,2.68598193078636e-52,4.60999319804963e-50,107.951761592791,down
FMO2,-4.05942504195449,-18.3004079983783,7.57999374003533e-52,1.26760818391052e-49,107.231154679951,down
MMRN2,-2.41918538047019,-18.2964895881509,7.85257354586378e-52,1.29656923205376e-49,107.207327248604,down
CD300C,-2.76150503159201,-18.3046149166323,7.29786906728819e-52,1.23627797550269e-49,107.112161750573,down
CD52,-2.89547931503657,-18.289035459359,8.39846782870643e-52,1.36937017947058e-49,107.099946074816,down
C5AR1,-2.38639593634878,-18.2851333508201,8.69920599451559e-52,1.40089435793162e-49,107.09217517155,down
S1PR4,-2.42235363160352,-18.2665881928944,1.02824876442876e-51,1.63566791258643e-49,106.970824484097,down
CD93,-2.50198314911644,-18.2000299825614,1.87386134417365e-51,2.94489727390374e-49,106.272063987667,down
LRRC32,-2.49167995344894,-18.1578231074109,2.74174431538276e-51,4.25753724403008e-49,105.927615453075,down
TMEM204,-2.19518202224346,-18.0553332736195,6.90905080545844e-51,1.06025480831059e-48,105.059148002173,down
C19orf59,-5.33297092680421,-18.0140748165673,1.0023290060688e-50,1.52027669246064e-48,104.694645514356,down
FOXF1,-3.08485697472617,-17.9982566800636,1.15601656178939e-50,1.73322758988285e-48,104.539315336533,down
PRAM1,-3.12352076573776,-17.9908870636768,1.23545870759878e-50,1.83128674794528e-48,104.444662951748,down
VSIG4,-3.11272439895515,-17.9636337909947,1.57968426188442e-50,2.315213653036e-48,104.154057611514,down
CLDN5,-3.31530215643823,-17.9297346112653,2.14458508580723e-50,3.07406240211753e-48,103.899518063801,down
CASKIN2,-1.73631908849097,-17.9321729996445,2.0979387670351e-50,3.04061258635621e-48,103.869291247506,down
SLC31A2,-1.72340998954098,-17.8809869266449,3.32870050752576e-50,4.71951841523544e-48,103.456899085377,down
RAI2,-2.60567689433899,-17.7553457734267,1.03365296983613e-49,1.44978164930564e-47,102.389625330002,down
