genes modules
842 ABCC6 M1
843 LARGE M1
844 IPW M1
845 GATM Not.Correlated
846 GINS1 M1
847 FNDC1 M3
848 PDGFRL M3
849 HKDC1 M1
850 SLC16A1 M1
851 MAP1A M3
852 NR3C2 M1
853 PDE9A M1
854 ARNT2 M1
855 TGFB2 M1
856 LAMC3 M1
857 RNF128 M1
858 AQP5 M1
859 RAB6B M1
860 METRN M1
861 MAOB M1
862 ANG M4
863 C10orf116 M1
864 SEMA4G M4
865 SERPINF2 M1
866 RHOV M1
867 BAMBI Not.Correlated
868 FAM83D M1
869 ZNF90 Not.Correlated
870 ATP10A M1
871 AZGP1 M2
872 ABI3BP M1
873 BIRC5 M1
874 ID4 M1
875 GABBR1 M1
876 DMD M1
877 BUB1B M1
878 TRPC6 M1
879 EPHX3 M1
880 SLC17A9 Not.Correlated
881 CBX2 M1
882 PCDH7 M3
883 DNAH2 M1
884 RAC3 M1
885 GPR98 M1
886 CHST2 Not.Correlated
887 ATP13A4 M1
888 KIAA1324L M1
889 DGAT2 Not.Correlated
890 XYLT1 M3
891 KIF3C M1
892 STEAP1 M1
893 ARSE M1
894 WDFY4 M1
895 NEK2 M1
896 PDLIM4 M3
897 SLC1A1 M1
898 HJURP M1
899 SCARA3 M1
900 BMP3 M1
901 SCD5 M4
902 GPX2 M4
903 GPRIN2 M1
904 ENTPD3 M1
905 DSEL M1
906 UCK2 M1
907 NHS M2
908 RASGRP1 M1
909 ZNF737 M1
910 SELL M2
911 ESM1 M1
912 PRKAR2B M1
913 CDKL2 M1
914 GNA14 M1
915 CCL20 M1
916 DLGAP5 M1
917 ZNF43 M2
918 EDNRB M1
919 WDR66 M4
920 FRZB M1
921 SDCBP2 M4
922 ADAM12 M3
923 DNAJC12 Not.Correlated
924 IL1RN M2
925 KYNU M4
926 RAB38 M2
927 CLIC3 M1
928 CPA3 M1
929 RASEF M1
930 SLC27A2 Not.Correlated
931 HSD17B6 M1
932 TNIK M1
933 OLFM2 M3
934 HMMR M1
935 GALNT5 M1
936 KCTD14 M2
937 DPT M1
938 LONRF2 M1
939 C1orf88 M1
940 ADM M1
941 SLCO4C1 M1
942 RIMKLA Not.Correlated
943 CELSR3 M1
944 RTKN2 M1
945 CD79A Not.Correlated
946 ELOVL7 M1
947 FREM2 M1
948 C14orf132 M1
949 CXCL1 M3
950 DCLK1 M3
951 HLF M1
952 ZNF462 M1
953 PPARG M2
954 MYCL1 M1
955 COL4A3 M1
956 NTN1 Not.Correlated
957 STC2 M1
958 LTB M2
959 SVEP1 M1
960 STX1A M1
961 NBEA M1
962 JPH1 M1
963 SETBP1 M1
964 IRX2 M1
965 C1orf130 M1
966 KCNJ8 M4
967 PDE3B M2
968 COL5A3 M3
969 GYG2 M2
970 PLCE1 M1
971 UNC5CL M1
972 ADAMTS9 M3
973 PID1 M1
974 NCAPH M1
975 CPXM2 M1
976 FLNC M3
977 TMEM37 M1
978 PKMYT1 M1
979 EEF1A2 Not.Correlated
980 MELK M1
981 CXCL13 Not.Correlated
982 TSPAN11 M1
983 ETNK2 M4
984 FAM171A1 Not.Correlated
985 GOLT1A M1
986 NINJ2 M1
987 CLEC3B M1
988 PBLD M1
989 METTL7B M1
990 NAPSB M1
991 ZNF204P M1
992 CA13 M1
993 ERP27 M1
994 MGAT5 M3
995 PRKAA2 M2
996 TGFBR3 M1
997 PPP1R14C M2
998 CRYM M1
999 FGFR4 M4
1000 GAMT Not.Correlated
1001 KCNE4 M4
1002 FAM111B M1
1003 CTAGE9 Not.Correlated
1004 BCAS1 M4
1005 SMOX M1
1006 C6orf168 M1
1007 MIAT M1
1008 EDIL3 M3
1009 G0S2 M3
1010 FAT4 M1
1011 FRAS1 M1
1012 GPRIN1 M1
1013 HSF4 M1
1014 CDON Not.Correlated
1015 PAQR5 M1
1016 ADSSL1 M4
1017 PLEKHG6 M1
1018 SLIT3 M1
1019 SRCIN1 M4
1020 ATP6V1C2 M2
1021 FOLR2 M2
1022 LYNX1 M1
1023 ITGA9 M1
1024 ABP1 M4
1025 TOX M1
1026 H2AFY2 M1
1027 IRX5 M1
1028 MUC15 M1
1029 ARSJ Not.Correlated
1030 IL4I1 M1
1031 ABCC9 M1
1032 ESYT3 M1
1033 RPL39L M1
1034 ANGPT2 M1
1035 COL27A1 M1
1036 S100A2 M3
1037 KBTBD11 M1
1038 ACOX2 M1
1039 CA11 M4
1040 MMP28 M1
1041 CLCN4 Not.Correlated
1042 SMO M1
1043 EPHX2 M1
1044 SLC16A9 M1
1045 LDHD M1
1046 ITIH5 M1
1047 WTIP M1
1048 RAPGEFL1 M2
1049 CRTAC1 M1
1050 POU2AF1 Not.Correlated
1051 ABLIM3 M1
1052 ZMAT1 M1
1053 NOSTRIN M1
1054 C12orf75 M1
1055 GINS2 M1
1056 EMR2 M2
1057 CCDC68 M1
1058 COL11A1 M3
1059 SPTLC3 M1
1060 BCL2L15 M1
1061 SPHK1 M1
1062 ESPN M4
1063 CSF2RA M2
1064 LOC100132288 Not.Correlated
1065 GPC6 M1
1066 SCN9A M4
1067 TLR3 M1
1068 SORCS2 M1
1069 GATA6 M1
1070 WNK2 M1
1071 PKDCC M1
1072 ODZ4 M3
1073 ADAMTS4 M1
1074 FAM84A M2
1075 ELOVL6 M1
1076 FAM50B Not.Correlated
1077 EMCN M1
1078 ACTG2 M1
1079 ZNF714 M4
1080 NUF2 M1
1081 SCNN1G M1
1082 CPT1B Not.Correlated
1083 FAM65B M1
1084 PDGFD M1
1085 CACNA1D M1
1086 WDR52 M1
1087 FNDC4 M3
1088 MOCOS M1
1089 S100A8 M1
1090 P2RY6 M1
1091 COL17A1 M1
1092 SCUBE2 M1
1093 SUSD4 M1
1094 CENPE M1
1095 APBA2 M3
1096 ATP7B M2
1097 ANKRD56 M1
1098 GSPT2 M1
1099 COL4A5 M1
1100 BEX2 Not.Correlated
1101 BEND7 M1
1102 MMP12 M1
1103 GPR68 M3
1104 CHRD Not.Correlated
1105 INPP4B M1
1106 SHCBP1 M1
1107 TMTC1 M2
1108 BMP4 M1
1109 C2orf54 M1
1110 HYAL1 M4
1111 PLXNC1 M2
1112 VILL M1
1113 ADORA2B M1
1114 C10orf81 M1
1115 VIPR1 M1
1116 PTPRN2 M1
1117 KHDRBS3 M1
1118 GALNT14 M1
1119 DFNA5 M3
1120 MSL3L2 M1
1121 ZNF853 M3
1122 HSPA2 M1
1123 C11orf92 M1
1124 XDH M2
1125 PCLO Not.Correlated
1126 PPP1R3C M1
1127 TFAP2A M1
1128 PLAC8 M1
1129 ATAD3C M1
1130 ARHGAP33 M1
1131 FAM134B M1
1132 SIDT1 M2
1133 XKRX M1
1134 HSD11B2 M1
1135 GLI3 M3
1136 LRRC15 M3
1137 PKP2 M1
1138 AS3MT M1
1139 GSTT1 Not.Correlated
1140 NMB M4
1141 SLIT2 M1
1142 NDC80 M1
1143 ESPL1 M1
1144 PGF M3
1145 HABP2 M1
1146 ACHE M1
1147 HSPB6 M1
1148 AATK M1
1149 CHRDL1 M1
1150 AMY2B M1
1151 DEPDC1 M1
1152 RHBDL2 Not.Correlated
1153 PRUNE2 M1
1154 SLC47A1 M1
1155 BMP8A M3
1156 CACNA1H M1
1157 LRP4 M2
1158 HSD17B14 M1
1159 PHYHD1 M1
1160 GINS4 M1
1161 TMEM150C Not.Correlated
1162 MACROD2 M1
1163 NAALADL2 M1
1164 ALDH1L2 M3
1165 IGF2BP3 M1
1166 ZNF750 M1
1167 LOXL4 M1
1168 RAD51AP1 M1
1169 ARL4D M1
1170 PLUNC Not.Correlated
1171 CCNE2 M1
1172 PNPLA7 M1
1173 CAMK1D M1
1174 C20orf54 M1
1175 NTM M3
1176 SOX2 M1
1177 PCP4L1 M1
1178 PRKD1 Not.Correlated
1179 HOXB3 M1
1180 ZNF626 M1
1181 C6orf27 M1
1182 GABRE M2
1183 CYP4X1 M1
1184 ZNHIT2 Not.Correlated
1185 KIAA1908 M1
1186 FABP3 M2
1187 NPR1 M1
1188 ST6GALNAC2 M1
1189 SNCG M1
1190 C21orf56 M1
1191 RGMA M1
1192 WASF3 M1
1193 IGF1 M1
1194 FOXC1 M4
1195 TMEM108 M1
1196 RAB36 M1
1197 CHI3L2 M1
1198 ALDH3A1 M4
1199 KCNMA1 M2
1200 THRB M1
1201 PODNL1 M3
1202 IGFBP6 M1
1203 AURKB M1
1204 ELFN2 M1
1205 SMPD3 M1
1206 AGT Not.Correlated
1207 EDARADD M1
1208 C1QTNF3 M3
1209 AK3L1 M1
1210 MME M3
1211 AGPAT9 M4
1212 KLF8 M2
1213 TROAP M1
1214 ANGPT1 M1
1215 RASGEF1A Not.Correlated
1216 APLN M1
1217 PKIB M1
1218 MFI2 M1
1219 LGSN M2
1220 CDKN2A M1
1221 IPCEF1 M2
1222 CCNO Not.Correlated
1223 CLDN18 M1
1224 DTNA Not.Correlated
1225 VAV3 M1
1226 SYT12 M4
1227 CERKL M1
1228 HK3 M2
1229 PYROXD2 M1
1230 OASL M2
1231 LGI2 M3
1232 CD27 M2
1233 PBK M1
1234 FILIP1 M1
1235 HOMER2 M1
1236 TTK M1
1237 AQP9 M2
1238 C1orf59 M1
1239 CPXM1 M3
1240 PRDM16 M1
1241 FAM184A M1
1242 KIRREL M3
1243 SPINK5 M1
1244 ITGB3 M3
1245 SULT2B1 M1
1246 C16orf45 M1
1247 PADI2 M2
1248 FPR1 M2
1249 KIF18B M1
1250 ZNF704 M1
1251 FAM167A M1
1252 PROM1 Not.Correlated
